89,172,123,121,78,180,137,100,95,141,207,125,97,119,175,167
48,179,97,122,80,92,116,129,165,88,95,99,145,112,125,122
112,108,194,122,143,166,107,152,176,163,58,197,130,94,107,176
131,203,135,34,46,105,156,113,130,80,176,104,81,157,78,199
137,148,80,117,39,88,169,114,96,133,132,149,164,193,88,94
112,123,200,135,59,151,119,95,152,106,45,121,123,165,50,77
183,128,84,36,80,160,127,88,105,159,132,121,41,217,86,136
167,168,66,105,154,190,122,149,105,122,152,163,158,194,178,131
169,163,94,169,112,129,160,161,174,126,117,130,134,202,193,152
36,201,164,204,91,161,149,152,182,138,172,147,135,89,231,165
38,161,97,89,104,139,160,154,118,185,116,99,223,155,179,97
55,155,207,97,112,115,74,168,143,109,58,166,86,144,46,108
86,137,127,189,150,51,121,130,127,226,135,93,79,194,230,141
109,86,32,106,188,53,150,171,64,230,135,179,191,218,116,81
168,159,54,184,142,105,140,105,45,220,197,168,55,161,44,50
193,125,196,163,99,147,90,95,217,39,49,103,132,126,143,206
230,101,178,218,88,146,104,96,100,36,153,145,190,147,164,117
209,99,144,232,140,185,156,168,128,33,199,149,91,136,103,123
163,157,162,175,202,106,165,133,125,95,196,133,72,107,197,165
89,125,138,125,158,79,154,122,64,98,96,121,166,105,99,63
91,81,100,84,175,97,121,165,152,119,139,160,78,128,40,62
90,63,169,222,201,104,108,150,133,151,72,131,82,89,196,152
153,116,84,76,194,91,164,159,126,159,72,172,230,44,137,31
88,122,134,84,133,143,120,169,94,135,175,176,113,35,24,34
171,38,87,50,199,148,101,128,225,98,52,140,103,46,168,132
162,42,142,77,141,124,132,126,146,179,145,177,214,41,197,72
145,106,85,97,150,188,179,169,147,111,201,164,69,41,81,133
